Datetime,Total_Requests,PageViews,Bytes,Threats,Top_Countries,Status_Codes
"2026-08-24T22:00:00Z",24,6,3580180,0,"US:12 | DE:4 | ES:3 | HK:3 | IE:2","101:2 | 200:16 | 404:6"
"2026-08-24T23:00:00Z",29,9,4151770,6,"US:15 | NL:8 | ES:5 | AU:1","101:2 | 200:19 | 403:6 | 404:1 | 405:1"
"2026-08-25T00:00:00Z",36,11,5865099,0,"US:27 | CN:7 | IN:1 | RU:1","101:1 | 200:15 | 204:1 | 404:19"
"2026-08-25T01:00:00Z",21,8,4557639,0,"US:9 | SG:8 | NL:3 | CN:1","101:2 | 200:17 | 304:1 | 404:1"
"2026-08-25T02:00:00Z",11,5,1982341,0,"US:9 | DE:1 | RO:1","101:1 | 200:9 | 404:1"
"2026-08-25T03:00:00Z",43,11,4929303,0,"US:31 | AU:5 | DE:5 | FI:1 | HK:1","101:5 | 200:24 | 204:8 | 304:2 | 404:4"
"2026-08-25T04:00:00Z",13,8,4860651,0,"US:12 | SE:1","200:12 | 404:1"
"2026-08-25T05:00:00Z",23,9,4683604,0,"EG:11 | US:9 | AU:2 | TW:1","101:4 | 200:14 | 204:4 | 404:1"
"2026-08-25T06:00:00Z",1310,3,2554442,0,"TW:1287 | AU:13 | US:8 | IE:1 | SG:1","101:7 | 200:9 | 204:2 | 304:4 | 404:1288"
"2026-08-25T07:00:00Z",16,6,2656872,0,"US:8 | FI:5 | AU:1 | CN:1 | FR:1","200:8 | 304:1 | 404:7"
"2026-08-25T08:00:00Z",19,4,2529328,0,"US:13 | GB:5 | JP:1","101:1 | 200:14 | 304:1 | 404:3"
"2026-08-25T09:00:00Z",105,10,5029092,0,"AU:48 | CH:30 | US:18 | FR:4 | IN:4","101:45 | 200:13 | 204:10 | 304:21 | 404:16"
"2026-08-25T10:00:00Z",76,11,5194979,0,"CH:30 | US:13 | IN:11 | AU:10 | BE:5","101:36 | 200:19 | 204:4 | 304:13 | 404:4"
"2026-08-25T11:00:00Z",36,5,2470366,0,"CH:16 | IN:10 | FR:5 | US:4 | DE:1","101:17 | 200:9 | 304:8 | 404:2"
"2026-08-25T12:00:00Z",53,5,2713785,0,"CH:20 | IN:13 | AU:7 | US:6 | TR:5","101:20 | 200:12 | 204:2 | 304:4 | 403:13 | 404:2"
"2026-08-25T13:00:00Z",72,14,6479801,0,"AU:30 | US:16 | IN:12 | CA:6 | CZ:2","101:27 | 200:23 | 204:10 | 304:7 | 404:3 | 499:2"
"2026-08-25T14:00:00Z",103,16,7287748,0,"CH:47 | AU:34 | IN:13 | US:5 | CN:1","101:41 | 200:20 | 204:4 | 302:1 | 304:29 | 403:6 | 404:2"
"2026-08-25T15:00:00Z",147,10,4992746,33,"CH:74 | AU:44 | IN:10 | US:7 | HK:6","101:34 | 200:39 | 204:8 | 304:14 | 403:51 | 404:1"
"2026-08-25T16:00:00Z",54,8,4032861,2,"AU:23 | IN:14 | US:11 | CH:5 | DK:1","101:22 | 200:16 | 204:6 | 304:7 | 403:2 | 404:1"
"2026-08-25T17:00:00Z",45,4,1872336,0,"AU:17 | IN:15 | US:6 | GB:5 | HR:1","101:24 | 200:9 | 204:4 | 304:6 | 404:2"
"2026-08-25T18:00:00Z",611,163,75960584,0,"US:232 | GB:72 | AU:49 | CA:48 | DE:42","101:163 | 200:301 | 204:101 | 304:35 | 403:3 | 404:6 | 499:2"
"2026-08-25T19:00:00Z",1866,505,235848314,0,"US:752 | GB:134 | DE:131 | CH:99 | CA:83","101:506 | 200:892 | 204:331 | 304:74 | 403:50 | 404:9 | 499:4"
"2026-08-25T20:00:00Z",1714,455,214281238,0,"US:790 | GB:100 | CA:84 | DE:74 | NL:65","101:454 | 200:816 | 204:341 | 304:52 | 403:29 | 404:13 | 499:9"
"2026-08-25T21:00:00Z",853,232,108673602,0,"US:348 | GB:66 | DE:64 | CA:42 | NL:40","101:246 | 200:405 | 204:155 | 304:24 | 403:19 | 404:4"
